Acanthaceae
Achariaceae
Achatocarpaceae
Acoraceae
Actinidiaceae
Adoxaceae
Aextoxicaceae
Aizoaceae
Akaniaceae
Alismataceae
Alseuosmiaceae
Alstroemeriaceae
Altingiaceae
Alzateaceae
Amaranthaceae
Amaryllidaceae
Amborellaceae
Anacardiaceae
Anacampserotaceae
Ancistrocladaceae
Anemiaceae
Anisophylleaceae
Annonaceae
Aphanopetalaceae
Aphloiaceae
Apiaceae
Apocynaceae
Apodanthaceae
Aponogetonaceae
Aquifoliaceae
Araceae
Araliaceae
Araucariaceae
Arecaceae
Argophyllaceae
Aristolochiaceae
Asparagaceae
Asphodelaceae
Aspleniaceae
Asteliaceae
Asteraceae
Asteropeiaceae
Atherospermataceae
Athyriaceae
Austrobaileyaceae
Balanophoraceae
Balanopaceae
Balsaminaceae
Barbeuiaceae
Barbeyaceae
Basellaceae
Bataceae
Begoniaceae
Berberidaceae
Berberidopsidaceae
Betulaceae
Biebersteiniaceae
Bignoniaceae
Bixaceae
Blandfordiaceae
Blechnaceae
Bonnetiaceae
Boraginaceae
Boryaceae
Brassicaceae
Bromeliaceae
Brunelliaceae
Bruniaceae
Burmanniaceae
Burseraceae
Butomaceae
Buxaceae
Byblidaceae
Cabombaceae
Cactaceae
Calceolariaceae
Calophyllaceae
Calyceraceae
Calycanthaceae
Campanulaceae
Campynemataceae
Canellaceae
Cannabaceae
Cannaceae
Capparaceae
Caprifoliaceae
Cardiopteridaceae
Caricaceae
Carlemanniaceae
Caryophyllaceae
Caryocaraceae
Casuarinaceae
Celastraceae
Centroplacaceae
Cephalotaceae
Ceratophyllaceae
Cercidiphyllaceae
Cervantesiaceae
Chloranthaceae
Chrysobalanaceae
Cibotiaceae
Circaeasteraceae
Cistaceae
Cleomaceae
Clethraceae
Clusiaceae
Colchicaceae
Columelliaceae
Comandraceae
Combretaceae
Commelinaceae
Connaraceae
Convolvulaceae
Coriariaceae
Cornaceae
Corsiaceae
Corynocarpaceae
Costaceae
Crassulaceae
Crossosomataceae
Crypteroniaceae
Ctenolophonaceae
Cucurbitaceae
Culcitaceae
Cunoniaceae
Cupressaceae
Curtisiaceae
Cyatheaceae
Cycadaceae
Cyclanthaceae
Cymodoceaceae
Cynomoriaceae
Cyperaceae
Cyrillaceae
Cystopteridaceae
Cystodiaceae
Cytinaceae
Daphniphyllaceae
Dasypogonaceae
Datiscaceae
Davalliaceae
Degeneriaceae
Dennstaedtiaceae
Desmophlebiaceae
Diapensiaceae
Dichapetalaceae
Dicksoniaceae
Didiereaceae
Dilleniaceae
Dioncophyllaceae
Dioscoreaceae
Dipentodontaceae
Diplaziopsidaceae
Dipterocarpaceae
Dipteridaceae
Dirachmaceae
Doryanthaceae
Droseraceae
Drosophyllaceae
Dryopteridaceae
Ebenaceae
Ecdeiocoleaceae
Elaeagnaceae
Elaeocarpaceae
Elatinaceae
Emblingiaceae
Ephedraceae
Equisetaceae
Ericaceae
Eriocaulaceae
Erythroxylaceae
Escalloniaceae
Eucommiaceae
Euphorbiaceae
Euphroniaceae
Eupomatiaceae
Eupteleaceae
Fabaceae
Fagaceae
Flagellariaceae
Fouquieriaceae
Francoaceae
Frankeniaceae
Garryaceae
Geissolomataceae
Gelsemiaceae
Gentianaceae
Geraniaceae
Gerrardinaceae
Gesneriaceae
Ginkgoaceae
Gisekiaceae
Gleicheniaceae
Gnetaceae
Gomortegaceae
Goodeniaceae
Goupiaceae
Griseliniaceae
Grossulariaceae
Grubbiaceae
Guamatelaceae
Gunneraceae
Gyrostemonaceae
Haemodoraceae
Halophytaceae
Haloragaceae
Hamamelidaceae
Hanguanaceae
Heliconiaceae
Helwingiaceae
Hemidictyaceae
Hernandiaceae
Himantandraceae
Huaceae
Humiriaceae
Hydatellaceae
Hydrangeaceae
Hydrocharitaceae
Hydrostachyaceae
Hydroleaceae
Hymenophyllaceae
Hypericaceae
Hypodematiaceae
Hypoxidaceae
Icacinaceae
Iridaceae
Irvingiaceae
Isoetaceae
Iteaceae
Ixioliriaceae
Ixonanthaceae
Joinvilleaceae
Juglandaceae
Juncaginaceae
Juncaceae
Kewaceae
Kirkiaceae
Koeberliniaceae
Krameriaceae
Lacistemataceae
Lamiaceae
Lanariaceae
Lardizabalaceae
Lauraceae
Lecythidaceae
Lentibulariaceae
Lepidobotryaceae
Liliaceae
Limeaceae
Limnanthaceae
Linaceae
Linderniaceae
Lindsaeaceae
Loasaceae
Loganiaceae
Lomariopsidaceae
Lonchitidaceae
Lophiocarpaceae
Lophopyxidaceae
Loranthaceae
Lowiaceae
Loxsomataceae
Lycopodiaceae
Lygodiaceae
Lythraceae
Macarthuriaceae
Magnoliaceae
Malpighiaceae
Malvaceae
Marantaceae
Marattiaceae
Marcgraviaceae
Marsileaceae
Martyniaceae
Matoniaceae
Maundiaceae
Mayacaceae
Mazaceae
Melanthiaceae
Melastomataceae
Meliaceae
Menispermaceae
Menyanthaceae
Metaxyaceae
Metteniusaceae
Microteaceae
Misodendraceae
Mitrastemonaceae
Molluginaceae
Monimiaceae
Montiaceae
Montiniaceae
Moraceae
Moringaceae
Muntingiaceae
Musaceae
Myodocarpaceae
Myricaceae
Myristicaceae
Myrothamnaceae
Myrtaceae
Nartheciaceae
Nelumbonaceae
Nepenthaceae
Nephrolepidaceae
Neuradaceae
Nitrariaceae
Nothofagaceae
Nyctaginaceae
Nymphaeaceae
Nyssaceae
Ochnaceae
Olacaceae
Oleaceae
Oleandraceae
Onagraceae
Oncothecaceae
Onocleaceae
Ophioglossaceae
Opiliaceae
Orchidaceae
Orobanchaceae
Osmundaceae
Oxalidaceae
Paeoniaceae
Pandanaceae
Pandaceae
Papaveraceae
Paracryphiaceae
Passifloraceae
Paulowniaceae
Pedaliaceae
Peltantheraceae
Penaeaceae
Pennantiaceae
Pentaphylacaceae
Pentadiplandraceae
Pentaphragmataceae
Penthoraceae
Peraceae
Peridiscaceae
Petenaeaceae
Petermanniaceae
Petiveriaceae
Petrosaviaceae
Phellinaceae
Philesiaceae
Philydraceae
Phrymaceae
Phyllanthaceae
Phyllonomaceae
Physenaceae
Phytolaccaceae
Picramniaceae
Picrodendraceae
Pinaceae
Piperaceae
Pittosporaceae
Plagiogyriaceae
Plantaginaceae
Platanaceae
Plocospermataceae
Plumbaginaceae
Poaceae
Podocarpaceae
Podostemaceae
Polemoniaceae
Polygalaceae
Polygonaceae
Polypodiaceae
Pontederiaceae
Portulacaceae
Posidoniaceae
Potamogetonaceae
Primulaceae
Proteaceae
Psilotaceae
Pteridaceae
Putranjivaceae
Quillajaceae
Rafflesiaceae
Ranunculaceae
Rapateaceae
Resedaceae
Restionaceae
Rhabdodendraceae
Rhachidosoraceae
Rhamnaceae
Rhizophoraceae
Ripogonaceae
Roridulaceae
Rosaceae
Rousseaceae
Rubiaceae
Ruppiaceae
Rutaceae
Sabiaceae
Saccolomataceae
Salicaceae
Salvadoraceae
Salviniaceae
Santalaceae
Sapindaceae
Sapotaceae
Sarcolaenaceae
Sarcobataceae
Sarraceniaceae
Saururaceae
Saxifragaceae
Scheuchzeriaceae
Schisandraceae
Schizaeaceae
Schlegeliaceae
Schoepfiaceae
Sciadopityaceae
Scrophulariaceae
Selaginellaceae
Setchellanthaceae
Simaroubaceae
Simmondsiaceae
Siparunaceae
Sladeniaceae
Smilacaceae
Solanaceae
Sphaerosepalaceae
Sphenocleaceae
Stachyuraceae
Staphyleaceae
Stegnospermataceae
Stemonaceae
Stemonuraceae
Stilbaceae
Strasburgeriaceae
Strelitziaceae
Stylidiaceae
Styracaceae
Surianaceae
Symplocaceae
Talinaceae
Tamaricaceae
Tapisciaceae
Taxaceae
Tecophilaeaceae
Tectariaceae
Tetramelaceae
Tetrameristaceae
Tetrachondraceae
Tetracarpaeaceae
Theaceae
Thelypteridaceae
Thomandersiaceae
Thurniaceae
Thymelaeaceae
Thyrsopteridaceae
Ticodendraceae
Tiganophytaceae
Tofieldiaceae
Torricelliaceae
Tovariaceae
Trigoniaceae
Trimeniaceae
Triuridaceae
Trochodendraceae
Tropaeolaceae
Typhaceae
Ulmaceae
Urticaceae
Vahliaceae
Velloziaceae
Verbenaceae
Violaceae
Vitaceae
Vochysiaceae
Welwitschiaceae
Winteraceae
Woodsiaceae
Xeronemataceae
Xyridaceae
Zamiaceae
Zingiberaceae
Zosteraceae
Zygophyllaceae
