metric,cycle1_mean,cycle1_sd,cycle2_mean,cycle2_sd,delta_mean,delta_sd
Hill q0 richness,36.885714285714286,13.345707785184498,38.768253968253966,13.863309333192374,1.8825396825396825,4.232364673196707
Hill q1 Shannon diversity,20.927089079653975,9.05363321667459,21.17123164948206,9.20781273555978,0.24414256982808466,3.309889334265223
Hill q2 Simpson diversity,13.821989769525597,6.828326731003824,13.686778811175383,6.742444680226365,-0.13521095835021268,3.163066866432935
