metric,cycle1_mean,cycle1_sd,cycle2_mean,cycle2_sd,delta_mean,delta_sd,delta_min,delta_max
Faith PD,3097.7313797001284,803.137230997666,3215.675910678914,812.8203233850498,117.94453097878602,275.316369735636,-761.133589,1340.0359571030003
MPD,273.99111826363725,30.838674225430506,276.7320466131731,31.20906942180462,2.7409283495358197,18.303473247455052,-61.710972521782736,122.62080364682411
MNTD,113.75209395381317,25.865996412537715,111.8254938261646,27.075538209203827,-1.9266001276485838,13.328146855734646,-54.01078806666666,52.45993543335234
