metric,n,mean,sd,median,min,max
n_especies_ingresso,315,4.733333333333333,3.426944563979112,4.0,0.0,33.0
n_especies_egresso,315,2.850793650793651,2.8126122350357745,2.0,0.0,20.0
abundancia_ingresso,315,8.75873015873016,14.333123133655603,5.0,0.0,142.0
abundancia_egresso,315,4.12063492063492,5.678043495742261,3.0,0.0,57.0
taxa_rel_ingresso_pct,315,4.958923144293395,6.994349528753417,3.0303030303030303,0.0,61.206896551724135
taxa_rel_egresso_pct,315,2.9246941690107415,5.468994301102833,1.530612244897959,0.0,67.85714285714286
ganho_liquido_especies,315,1.8825396825396825,4.232364673196707,2.0,-18.0,30.0
ganho_liquido_individuos,315,4.6380952380952385,15.19540900927164,2.0,-50.0,141.0
