metric,n,mean,sd,median,min,max
Sorensen dissimilarity,315,0.10688595553750395,0.07100662384239982,0.0933333333333333,0.0,0.625
Bray-Curtis dissimilarity,315,0.1714797640379516,0.1067297203796829,0.1480996068152031,0.0259365994236311,0.8181818181818182
Legendre dissimilarity,315,0.10688595553750395,0.07100662384239982,0.0933333333333333,0.0,0.625
Podani dissimilarity,315,0.1714797640379516,0.10672972037968291,0.1480996068152031,0.0259365994236311,0.8181818181818182
