UA,Lat,Long,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd
1,-29.249849,-50.129826,0.9600000000000364,1.0581668027027717,-1.879999999999996,0.0905788470167499,0.014699999999999935,0.006960455486541783,-0.45890000000000003,0.026531690546113804,-3.363315,0.5408783000000001,0.0,0.023582890500016163,0.429336965125124,0.0987931532044426,-1.1114824843792377,0.19020169633130912
4,-29.159473,-49.952371,3.1999999999999886,1.0918801519738892,-1.6200000000000037,0.07362699142781715,0.0033000000000000806,0.0015550724637686253,-0.3052000000000001,0.006097716793523902,17.829279999999997,0.2926019999999996,0.0,-0.49271395255323114,0.4526351848841603,0.10475536953503184,-1.0417473910916186,0.12346418140527682
10,-29.070014,-49.86003,1.919999999999959,0.9595800906318743,-0.8600000000000136,0.07758985000090401,0.015800000000000036,0.015726086956521668,-0.3415,0.010659589749521997,22.725109999999987,0.04450140000000058,0.0,-1.2035719250848498,0.47354149773388343,0.11422084850804737,-0.9613698319445518,0.12476848481971814
15,-28.979503,-49.859074,4.039999999999964,0.9750759334934003,1.2199999999999704,0.09298212928941041,0.0016000000000000458,0.0011799171842646894,-0.28830000000000006,0.021607193940194995,-3.1148199999999946,-0.17158100000000065,0.0,-1.6695260395137304,0.4847866486867396,0.12217332876912756,-1.1366093693364974,0.19395011510132587
21,-28.89,-49.860002,2.900000000000041,0.684220877226597,1.939999999999996,-0.019471951947390487,0.010599999999999943,0.007118840579710239,-0.1543,0.006198154123203001,4.699709999999996,-0.16288500000000017,0.0,-1.8327672406365867,0.5032776844425442,0.13485677209854163,-1.2645934066841136,0.2207542063334742
23,-28.894572,-49.680557,0.6200000000000045,0.8820484985896435,-1.8000000000000131,-0.008440561228658439,0.034499999999999975,0.004951552795031122,0.01369999999999999,-0.01340659145623141,-30.636205000000004,-0.2736889999999992,0.0,-2.362685215877745,0.48390177436900217,0.13371216246913775,-0.9080971914895741,0.09718489902208827
28,-28.800001,-49.86001,3.2799999999999727,0.7251942683285826,-1.2600000000000495,0.12499283407993911,0.010700000000000043,0.012695238095238204,-0.18800000000000006,0.009201762308493198,12.225250000000003,-0.1341467000000005,0.0,-1.3282867465802415,0.526124431264444,0.14779286747168197,-1.3707988721854463,0.20630782169900463
30,-28.79995,-49.68009,2.9399999999999977,0.771195281174375,-1.5399999999999654,0.05784851189172091,0.009299999999999975,0.005276190476190656,-0.012400000000000022,-0.010222804677427907,-11.216459999999998,-0.28936399999999995,0.0,-2.2203391106278154,0.5050910210708093,0.1424257623429055,-1.149089295833818,0.14936045531022035
37,-28.710079,-49.77012,2.659999999999968,0.7888484882544375,-1.0600000000000023,0.2347922666603699,0.012099999999999889,0.01793105590062094,-0.042200000000000015,-0.007006099553428992,-30.613800000000012,-0.36646849999999986,0.0,-2.310750843510938,0.5362717963532795,0.15579142971556248,-1.3696257409326478,0.1845244485432147
39,-28.70792,-49.588646,2.9599999999999795,0.8151254734379876,-0.8600000000000136,0.029472408490682334,0.02190000000000003,0.013102691511387543,-0.01749999999999996,-0.007932294849580093,-24.725399999999993,-0.3542170000000002,0.0,-2.1609440875224077,0.5026929849977684,0.13968333541812328,-1.3209470202643416,0.32283454608661444
40,-28.710759,-49.499466,1.420000000000016,0.8444493153588866,-1.8999999999999773,0.20267553755086265,0.02739999999999998,0.010496273291925262,0.0011999999999999789,-0.011011736322971394,-20.075090000000003,-0.4565520000000003,0.0,-2.6295166483093837,0.4876516742468251,0.13835270424793222,-1.4718812086477726,0.5224201948985279
41,-28.709167,-49.409071,5.919999999999959,1.276200500944384,-2.2800000000000296,0.5697624370823524,-0.0034999999999999476,-0.012821325051760035,-0.133,0.005510549005150203,-37.909850000000006,-0.5231980000000007,0.0,-3.3794725556563723,0.4779376573196661,0.12780354021654894,-1.6787270522593474,0.682982072472007
47,-28.619987,-49.59011,0.21999999999997044,0.8778130300065001,-1.420000000000016,0.06018105650994343,0.0024000000000000687,0.005852173913043712,-0.10200000000000004,0.005087443619251196,-13.039723999999993,-0.29553079999999987,0.0,-2.474305360982857,0.5228745321390651,0.14430942091353227,-1.4841724068928244,0.3704531657208978
49,-28.621879,-49.408916,4.460000000000036,1.0650248334627577,0.08000000000003915,0.2830637716811353,0.0010000000000000009,-0.0010861283643895936,-0.23020000000000007,0.008213112985397196,10.189910999999995,-0.49331380000000014,0.0,-2.5620938888222664,0.493480734966683,0.13337420917267462,-1.7861502961192173,0.7929748036797095
50,-28.617853,-49.315469,4.740000000000009,1.0709116133131005,-2.079999999999984,0.4015416938073688,0.0046999999999999265,0.0007383022774327674,-0.05689999999999995,0.0017264981522215964,-10.409266000000002,-0.4998760999999998,0.0,-2.462606824515367,0.46047092398852385,0.12544817863075064,-1.839121000458178,0.7475619183030453
51,-28.6193,-49.232084,4.840000000000032,0.9313337517107385,0.30000000000001315,0.46845728193938196,0.022599999999999953,0.006527536231884512,-0.19540000000000007,0.013936366177544401,-10.409266000000002,-0.4998760999999998,0.0,-2.462606824515367,0.46047092398852385,0.12544817863075064,-1.839121000458178,0.7475619183030453
58,-28.529238,-49.497344,3.240000000000002,0.8052128132058485,0.30000000000001315,0.11453975332019439,0.017999999999999905,0.008626915113871925,-0.2333,0.021897377981961,-7.057719999999989,-0.3622961,0.0,-1.7140209702999538,0.5180803138742185,0.14327330168121932,-1.7420489662716676,0.6335522244675182
59,-28.526374,-49.412979,3.9600000000000364,0.7660924491094185,3.319999999999993,0.17217569858799475,0.007899999999999907,0.008029606625258645,-0.132,0.0022762357546285,6.419505000000001,-0.4028337000000004,0.0,-2.215838303405718,0.5001856318925437,0.13714344417905,-1.8960911228283521,0.8584304270872645
69,-28.43901,-49.947676,0.5799999999999841,0.9260543897311813,1.3799999999999955,-0.00196228049972369,0.019100000000000006,0.02565921325051801,-0.135,-0.005837977578041199,4.003584000000004,0.08369439999999972,0.0,-0.4046986706025457,0.5379631675346825,0.18965629505252668,-1.4556642528023787,0.29759438825471385
70,-28.437969,-49.858788,2.079999999999984,1.1740527926594275,-4.319999999999993,0.16691400430717795,0.024399999999999977,0.0070428571428574616,-0.2891,0.004184619228419506,8.718320000000006,-0.043537999999999855,0.0,-0.9602101562429901,0.5433372235340279,0.18266616640633782,-1.446658749193233,0.26678557643594836
74,-28.443679,-49.498729,0.4600000000000364,1.0692852932508217,-0.5400000000000205,0.08254296973938757,0.0043999999999999595,0.018881159420289673,0.13840000000000002,-0.020122568421055906,-7.391829999999999,-0.38203560000000003,0.0,-1.9876472789955297,0.5180803138742185,0.14327330168121932,-1.7420489662716676,0.6335522244675182
77,-28.440231,-49.229925,3.180000000000007,1.0709780663261093,-0.12000000000000455,0.13479811915271434,0.023700000000000054,0.01163954451345739,-0.06479999999999997,-0.0020800282706361015,-4.370913999999999,-0.4433750000000005,0.0,-2.726133528549825,0.47942091458383373,0.13414738301802487,-2.097026568550916,0.9560330583324443
81,-28.440008,-48.870006,2.079999999999991,0.7973013649425056,-5.099999999999966,0.4155746126120645,-0.0020999999999999908,0.01536583850931672,0.04520000000000002,-0.004702833751695397,-38.884725,-0.35861000000000054,0.0,-2.7125849969846367,0.40743254714968025,0.13452027479689388,-1.5181615458031956,0.3649653299161493
85,-28.3502,-50.400054,0.8199999999999932,0.3765081967212751,-3.1999999999999886,0.14906052033572426,0.031200000000000006,0.062327950310559044,0.015100000000000002,-0.0219068202201615,46.238844,0.4836830000000001,0.0,1.175139855688851,0.4990924661219758,0.22499390312652512,-1.200926508963704,0.9181885107462282
87,-28.35029,-50.221382,0.6200000000000045,0.7364863318108341,1.420000000000016,0.18961910943197147,0.042100000000000026,0.022736645962732838,0.0024999999999999467,-0.008957943950426199,5.158060000000006,0.3201697000000001,0.0,0.3460028157346038,0.507106865060825,0.21520293382368827,-1.265690268950678,0.7124213162245034
89,-28.348379,-50.040497,2.1200000000000045,1.0452501473882734,-1.9399999999999977,0.18254805314763622,0.009199999999999986,0.015436853002070317,-0.04910000000000003,-0.012003452493316094,9.065339999999992,0.29692900000000044,0.0,0.7054968978666629,0.512328580240796,0.20748787949124203,-1.265954282798205,0.5418278715921634
95,-28.350039,-49.499967,1.9600000000000364,1.0696455870720243,-0.6200000000000045,0.1463270098459457,0.008400000000000074,0.04251966873706037,0.2686,-0.04987099737872469,-11.782260000000008,-0.21726230000000069,0.0,-1.7552674652117766,0.5097915878833081,0.14952143278007846,-1.6644215864378253,0.5878289136097621
97,-28.348173,-49.319101,1.6799999999999997,1.0252539527943654,3.1999999999999886,0.15141774003188146,0.00869999999999993,0.012417391304347603,-0.031399999999999983,-0.0027491805277225986,-3.5584499999999935,-0.23663800000000013,0.0,-1.5743184540575985,0.47219229820331243,0.139206711009491,-2.020776533772505,0.9611285942348227
98,-28.352694,-49.231971,3.240000000000009,1.0497841806528783,5.100000000000023,0.18493638427925507,0.024600000000000066,0.009268530020704158,-0.12490000000000001,0.0020045171010511995,-7.622009999999989,-0.27234669999999994,0.0,-2.028398354949328,0.47219229820331243,0.139206711009491,-2.020776533772505,0.9611285942348227
104,-28.260212,-50.670125,0.8199999999999967,0.6504591002137694,2.2800000000000296,-0.1492942250494611,0.02850000000000008,0.02171552795031062,0.02210000000000001,-0.0060976960830849,26.752374000000003,0.7524815,0.0,1.071759018187068,0.4844514559519322,0.2460909405469769,-1.2454629703567548,1.0287936981585766
113,-28.260661,-49.86161,0.9200000000000159,0.8320912478680391,-0.2400000000000091,0.2559584997838087,0.024699999999999944,0.022449068322981325,-0.3121,0.0025775815850185985,30.235600000000005,0.09715359999999951,0.0,-0.34935731828173466,0.5001867840288448,0.19929603957066,-1.2554484600982931,0.36555264365751583
