UA,Long,Lat
687,-49.677713,-26.90844
688,-49.587924,-26.911786
689,-49.499667,-26.910199
690,-49.410872,-26.909986
712,-52.470335,-26.819721
714,-52.294059,-26.822301
717,-52.018015,-26.820042
718,-51.969822,-26.788683
723,-51.482385,-26.818087
725,-51.303339,-26.8189
727,-50.894957,-27.990234
728,-51.021817,-26.818528
732,-50.674349,-26.819825
736,-50.309062,-26.82217
737,-50.222716,-26.81728
739,-50.037411,-26.818498
742,-49.76937,-26.821458
743,-49.679967,-26.820093
745,-49.500002,-26.819997
747,-49.320949,-26.818644
748,-49.229467,-26.820851
750,-49.049333,-26.819619
752,-48.871089,-26.81982
753,-48.778677,-26.82246
784,-51.118895,-26.731857
789,-50.670893,-26.730342
793,-50.310002,-26.730093
794,-50.212208,-26.734631
795,-50.131912,-26.731652
796,-50.039996,-26.730094
797,-49.949991,-26.729971
798,-49.860107,-26.730017
801,-49.591515,-26.731441
802,-49.500078,-26.729998
803,-49.407372,-26.727633
804,-49.321701,-26.730599
807,-49.05001,-26.730003
811,-48.694643,-26.730149
830,-51.033634,-27.902082
832,-51.930194,-26.639901
836,-51.57275,-26.641763
837,-51.480167,-26.637447
843,-50.751269,-26.644884
845,-50.580002,-26.640744
847,-50.400061,-26.640089
850,-50.130003,-26.640093
852,-49.949991,-26.64006
853,-49.859877,-26.63998
856,-49.590027,-26.639988
857,-49.5,-26.639996
858,-49.411436,-26.638312
860,-49.229995,-26.639996
865,-48.784324,-26.64132
884,-52.108858,-26.550262
886,-51.033771,-27.852015
887,-51.02787,-26.55349
894,-50.39977,-26.547759
895,-50.312691,-26.551456
899,-49.946791,-26.549628
901,-49.770818,-26.549889
902,-49.680073,-26.550061
905,-49.409925,-26.549984
906,-49.320003,-26.550008
907,-49.226035,-26.552281
909,-49.050062,-26.550144
912,-48.776893,-26.548291
913,-48.689037,-26.552507
918,-53.281482,-26.46119
926,-52.564242,-26.460558
933,-51.030005,-26.4601
934,-50.940893,-26.461762
939,-50.489075,-26.459677
941,-51.121856,-27.810882
945,-49.948858,-26.460407
946,-49.85843,-26.459578
949,-49.590434,-26.45983
951,-49.40998,-26.460002
953,-49.232898,-26.459997
955,-49.051795,-26.462362
959,-48.689995,-26.46
974,-50.938012,-26.371178
976,-50.765957,-26.373158
978,-50.580303,-26.381312
979,-50.488584,-26.370856
982,-50.220028,-26.370169
984,-50.040023,-26.370077
991,-49.410004,-26.369839
992,-49.32015,-26.370663
993,-49.23,-26.370001
994,-49.139805,-26.367982
995,-49.048693,-26.369648
997,-48.870001,-26.369998
1000,-51.164103,-27.764093
1001,-53.64031,-26.27984
1003,-53.281735,-26.282328
1010,-50.495598,-26.27881
1013,-50.220001,-26.279997
1016,-49.949854,-26.277101
1019,-49.681358,-26.279381
1024,-49.228334,-26.278033
1025,-49.139999,-26.280003
1026,-49.050025,-26.280009
1027,-48.961944,-26.28013
1031,-48.600001,-26.280001
1034,-50.491175,-26.190623
1042,-49.770076,-26.19003
1047,-49.140824,-26.187328
1048,-49.047891,-26.192614
1049,-48.960004,-26.190004
1052,-48.690007,-26.19
1055,-50.489104,-26.10079
1059,-50.132936,-26.103016
1061,-49.950813,-26.099712
1062,-51.212513,-27.723394
1063,-49.228674,-26.098843
1065,-49.050002,-26.099977
1066,-48.959586,-26.09961
1068,-48.780368,-26.10023
1069,-48.689597,-26.099634
1072,-48.869998,-26.009996
1073,-48.780046,-26.00866
1074,-48.689996,-26.010002
1123,-51.302608,-27.675028
1187,-51.302017,-27.629683
1188,-51.260407,-27.629181
1190,-51.162762,-27.633365
1191,-51.120598,-27.628208
1195,-50.940004,-27.629999
1249,-51.432694,-27.586808
1318,-51.525069,-27.540195
1388,-51.613785,-27.494134
1461,-51.79501,-27.45021
1536,-51.975011,-27.405781
1542,-51.706008,-27.405073
1616,-51.88499,-27.360205
1618,-51.796013,-27.36001
1619,-51.750043,-27.360625
1693,-51.974703,-27.313974
1694,-51.929929,-27.31502
1703,-51.52605,-27.320084
1770,-52.695145,-27.269907
1774,-52.201183,-27.268846
1775,-52.155009,-27.270002
1787,-51.614357,-27.268075
1859,-52.515001,-27.225
1861,-52.421525,-27.223019
1864,-52.292002,-27.2245
1869,-52.064945,-27.224135
1959,-52.562286,-27.175783
1961,-52.470565,-27.178283
1965,-52.290005,-27.179997
1970,-52.066404,-27.179023
1980,-51.612487,-27.179402
2001,-50.301857,-26.216573
2002,-50.293403,-26.215737
2051,-53.776088,-27.135309
2056,-53.552872,-27.136209
2077,-52.469998,-27.134997
2079,-52.381029,-27.134059
2081,-52.290003,-27.135006
2083,-52.199248,-27.134312
2088,-51.975002,-27.135001
2099,-51.481073,-27.1348
2100,-51.434998,-27.135004
2101,-51.389733,-27.135814
2166,-53.681889,-27.087986
2170,-53.509047,-27.088608
2172,-53.415137,-27.089044
2179,-53.100085,-27.091454
2194,-52.379403,-27.090285
2195,-52.332856,-27.092684
2216,-51.391889,-27.091425
2281,-53.684991,-27.043878
2287,-53.415968,-27.047439
2294,-53.099622,-27.043863
2310,-52.379575,-27.045031
2406,-53.235783,-26.997446
2414,-52.876348,-26.998713
2425,-52.380002,-27
2510,-53.685675,-26.956534
2512,-53.595452,-26.954985
2515,-53.459905,-26.955692
2530,-52.783777,-26.953829
2531,-52.740002,-26.954999
2623,-53.641385,-26.909576
2645,-52.651533,-26.909251
2987,-52.51587,-26.773474
3001,-50.228433,-26.251303
3002,-50.228881,-26.247251
3082,-53.410384,-26.72888
3097,-52.740002,-26.729946
3197,-53.279252,-26.68552
3309,-53.280557,-26.640546
3414,-53.418026,-26.59188
3416,-53.32693,-26.595782
3427,-52.828834,-26.591394
3520,-53.413706,-26.547662
4000,-50.963991,-26.861249
5000,-51.136681,-27.6909
6001,-53.285612,-26.308971
6002,-53.293898,-26.328532
6003,-53.298529,-26.400648
6004,-53.301782,-26.432752
6005,-53.377456,-26.471861
7001,-52.571278,-26.469806
7002,-52.564086,-26.465317
8003,-48.527578,-27.717488
8009,-48.6876,-27.449935
8010,-48.563254,-26.349745
8011,-48.801947,-26.030286
8012,-48.610557,-26.393337
8013,-48.645008,-26.853616
397,-51.659999,-27.359997
403,-51.120003,-27.359997
405,-50.939998,-27.36
491,-51.659997,-27.179999
930,-52.200001,-26.460002
938,-50.579998,-26.460001
1056,-50.400004,-26.099996
863,-48.960004,-26.639997
1021,-49.500003,-26.280002
