UA,PD_ciclo1,MPD_ciclo1,MNTD_ciclo1,PD_ciclo2,MPD_ciclo2,MNTD_ciclo2,PD_delta,MPD_delta,MNTD_delta
1,2364.964423003,236.961754591,117.91608200023076,2672.207212003,237.5589208216989,109.8453236454516,307.24278900000036,0.5971662306989174,-8.070758354779159
10,3155.671881402,267.969414186439,90.12578291731708,3086.755896506,267.15081290414616,93.58741692545,-68.91598489599983,-0.8186012822928319,3.4616340081329184
1001,2673.111269,275.69861091333337,154.16103592,2453.530802,280.1028913766234,160.90857368181818,-219.58046699999977,4.404280463290036,6.747537761818194
1003,2428.898993996,284.1771172061884,139.23706408316667,2638.411140996,283.49529794738464,142.42332623046153,209.5121469999999,-0.6818192588037846,3.1862621472948547
1010,1918.141141,304.2692272967033,199.06493807142857,1840.177954,309.69422523076923,207.7275982307692,-77.96318700000006,5.424997934065914,8.662660159340618
1013,1555.1730960000002,304.86263856060606,155.88565625,1870.648936,285.3569427916667,144.754182125,315.47583999999983,-19.505695768939347,-11.131474125000011
1016,2289.51004,276.50585351082253,132.66989054545454,2203.0645750000003,279.1016911526316,141.3995668,-86.44546499999979,2.595837641809055,8.729676254545467
1019,2590.807668,267.27106530158727,124.92311385714284,2707.7302010032,266.54173459791446,116.20603470021334,116.92253300319999,-0.7293307036728152,-8.7170791569295
1024,3064.820978,308.8693727260504,110.25162014285712,3148.680556,352.1387570611664,86.8012165,83.8595779999996,43.269384335116,-23.450403642857125
1025,3705.191821006,280.0726609832381,96.2787178369796,3917.815134006,278.97917931608526,88.04760533355555,212.62331300000005,-1.0934816671528438,-8.231112503424043
1026,3306.035076902,284.616606096074,76.3674766275,3376.351392902,306.02224637790243,89.64860038065854,70.31631599999992,21.405640281828425,13.281123753158539
1027,3608.954912899,272.19712919266124,119.58567955379488,3839.643716899,266.6211298563192,106.48056625773332,230.6888039999999,-5.575999336342022,-13.10511329606156
1031,2866.389596003,257.25932982905346,112.4418180592647,2839.1619680030003,257.0446537916203,110.00872785338235,-27.22762799999964,-0.21467603743315067,-2.433090205882351
1034,1541.762820996,243.11275013129668,137.52961449971428,1941.313593996,299.2683409328,189.98954993306663,399.55077299999994,56.15559080150334,52.45993543335234
104,3452.049174996,280.2916550659217,116.43162510246154,3502.501939996,279.7199847600564,116.0806695249,50.452765,-0.5716703058653252,-0.3509555775615354
1042,2210.547402,317.57082139473687,126.17128945,2411.249563996,296.36899279353844,102.85453253830768,200.70216199599963,-21.20182860119843,-23.316756911692323
1047,1970.3773649992,234.03455186225216,100.6334731251,3222.8073000022,324.93028084861817,122.81363339419394,1252.429935003,90.89572898636601,22.180160269093946
1049,4393.420968003001,240.8993006465073,101.73632027123728,4660.725394006,239.5236503026348,91.27345075017648,267.3044260029992,-1.3756503438725076,-10.462869521060796
1052,3937.773201999,301.6770438230884,100.33183734704082,3926.966425899,307.5560220811785,98.80951760846808,-10.806776099999752,5.878978258090115,-1.5223197385727332
1055,1807.989246,293.7493875428572,158.521206,1889.880607,277.6630886432749,119.96086152631578,81.89136099999996,-16.086298899582346,-38.560344473684225
1056,3605.577736996,282.97001304964783,112.17399167423255,3677.016902996,279.9970827244638,102.55002849982608,71.43916600000011,-2.972930325184052,-9.62396317440647
1059,3074.082819996,258.68292004783183,109.76768859437838,3693.783650996,301.0775081229221,108.24980361885714,619.7008309999997,42.39458807509027,-1.5178849755212411
1061,2824.5274725,264.8795918731183,135.5446649354839,2930.688818,325.21729034274193,104.23621828125,106.16134550000015,60.33769846962366,-31.30844665423389
1062,2448.8502350000003,273.5591039604743,138.70475060869566,2598.569869,271.70758415333336,140.73160444,149.7196339999996,-1.85151980714096,2.0268538313043507
1063,3361.0031870000003,277.8746065923077,104.22947555,3309.11614,279.5919936194332,105.61302435897436,-51.887047000000166,1.7173870271254827,1.3835488089743535
1068,3476.2381599990003,240.2916559757132,111.23832553337778,3138.7927158990005,240.85375729841152,108.57687666495,-337.4454440999998,0.5621013226983109,-2.661448868427769
1069,4530.488268825,257.23254019260435,118.18076959163793,4986.7706617250005,273.6506766586616,128.7591895611356,456.28239290000056,16.418136466057263,10.578419969497673
1072,4150.347430003,306.13787133515643,107.33941444916329,4279.580477003,296.68793678529426,93.58996460010908,129.23304699999971,-9.449934549862178,-13.749449849054201
1073,3594.890085999,235.23216045923755,93.69580423086538,3830.774011999,274.94114086949395,92.45941675009615,235.88392599999997,39.7089804102564,-1.2363874807692241
1074,3983.016041996,238.2199335463285,94.11941994908474,4210.548590896,237.85883144267893,91.54122942209524,227.53254890000017,-0.3611021036495572,-2.578190526989502
113,1972.349821,340.054570075,130.711889,1836.874125,345.1006416571429,117.37033333333332,-135.47569599999997,5.046071582142872,-13.341555666666693
114,1481.9705740000002,403.7259219444445,199.9378213333333,1424.359415,423.3313975,225.769120375,-57.61115900000027,19.605475555555472,25.83129904166671
117,5206.741230003,282.9755924191333,95.45241475727144,5242.149236003,280.73159869656604,97.22296671441428,35.40800599999966,-2.243993722567268,1.7705519571428425
118,4714.660146006,309.85366696948336,87.73298429015942,4509.670557006,305.51450270948817,81.85011794311428,-204.9895889999998,-4.3391642599951865,-5.8828663470451374
1187,3580.0392969960003,244.02037001606968,118.98271730933332,3667.874388996,243.78150541208032,113.43548390890908,87.8350919999998,-0.23886460398935583,-5.547233400424247
119,3546.150754899,266.2730090219757,101.57581179106668,3230.1242398992,298.2993013359928,91.49338120536216,-316.02651499979993,32.0262923140171,-10.082430585704529
1191,2858.3861149960003,240.64599239548664,109.91195211741176,2890.593134996,240.73908246363695,104.54793599977144,32.20701999999983,0.0930900681503033,-5.364016117640318
1195,2757.648865,266.0696149218391,124.09617223333332,2907.7258540000003,262.86729801136363,119.47220451515152,150.07698900000014,-3.2023169104754743,-4.623967718181802
122,2405.001710899,243.3822497728374,84.69502546889656,2575.578480899,243.48974348337632,89.03725482574194,170.57677000000012,0.107493710538904,4.34222935684538
123,4111.899762003,288.1511939421594,111.9637961957174,4458.124810899,281.6645141452835,98.03378139263636,346.22504889599986,-6.486679796875933,-13.93001480308105
134,2108.843287,298.96337895238094,98.45417786363636,2430.431985,290.65660913846153,108.0449733846154,321.588698,-8.306769813919402,9.590795520979043
137,2189.922915,324.35350573099413,127.7810437368421,2189.922915,324.35350573099413,127.7810437368421,0.0,0.0,0.0
1388,3609.649563996,238.8767044745697,109.05404584435556,3879.752598996,237.4933435956229,101.1889422306923,270.1030350000001,-1.383360878946803,-7.865103613663251
139,1202.070742,425.9507454285714,173.76419485714283,1202.070742,425.95074542857145,173.76419485714283,0.0,5.684341886080802e-14,0.0
140,1133.285706,349.84466790476193,186.49146628571427,1369.36067,331.62957950000003,194.97813066666663,236.07496400000014,-18.2150884047619,8.486664380952362
141,3800.046353003,270.1120662905029,130.35929995259522,3588.722806003,269.4221244147805,122.40927478078048,-211.32354699999996,-0.6899418757224112,-7.950025171814744
142,3617.5758015092,335.63136510452534,100.43817307019536,4058.0161200092,324.07645899057206,101.173728060368,440.4403185000001,-11.55490611395328,0.7355549901726448
143,3855.583201006,285.02123502611767,84.37944668662745,4270.833914006,281.4590958008916,95.12853283663635,415.2507129999999,-3.562139225226076,10.749086150008907
146,3544.380682899,270.5661053021463,110.33101442921952,3489.790377899,267.4425111634831,104.2803955380476,-54.59030500000017,-3.1235941386631794,-6.050618891171922
147,3201.5937573990004,243.96138911556096,95.11752938036584,3187.523594402,243.59483612453135,73.97157333921739,-14.070162997000352,-0.36655299102960726,-21.14595604114845
148,4046.669455003,316.9620796260116,116.96348108352085,3853.514793003,316.7595409011452,111.20484814912766,-193.15466200000037,-0.20253872486637192,-5.758632934393191
15,4141.169187396,244.92213729859165,83.41076390675862,4415.543503396,243.50785736853075,81.42143940910769,274.37431600000036,-1.4142799300609,-1.9893244976509266
1536,3260.627060996,266.5874108196036,124.94140837827028,3164.292540996,267.4160276934286,121.71537380544444,-96.33452000000034,0.8286168738250126,-3.2260345728258386
1619,2113.5864409960004,235.25082387317,120.972862652,2136.925285996,238.80488015775487,119.87614869547824,23.338844999999765,3.554056284584874,-1.0967139565217678
165,1762.7500100000002,305.5013915897436,201.22906046153847,1804.034831,298.859251978022,185.5120887857143,41.28482099999974,-6.642139611721632,-15.716971675824169
